WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO
25/5-3,1156.5631897,479085.1875,6605461.0,-1134.505859,HORDALAND GP.,Skade Fm.,12.343799591,,3.0194833279,2.7349684238,1.4301335812,36.980545044,,,79.741355896,,,17.5,,,,-1.150841713,,,,
25/5-3,1156.7151897,479085.1875,6605461.0,-1134.657837,HORDALAND GP.,Skade Fm.,12.343799591,,2.7886419296,2.7534239292,1.4139256477,38.11346817,,,,,,17.5,,,,-1.158250213,,,,
25/5-3,1156.8671897,479085.1875,6605461.0,-1134.809814,HORDALAND GP.,Skade Fm.,12.286028862,,2.7490081787,2.786087513,1.4331563711,39.243904114,,,,,,17.5,,,,-1.160961032,,,,
25/5-3,1157.0191897,479085.1875,6605461.0,-1134.961792,HORDALAND GP.,Skade Fm.,12.240381241,,2.7790892124,2.8203516006,1.4547023773,39.501541138,,,,,,17.5,,,,-1.16501689,,,,
25/5-3,1157.1711897,479085.1875,6605461.0,-1135.11377,HORDALAND GP.,Skade Fm.,12.214414597,,2.7024269104,2.8482275009,1.4674972296,38.311786652,,,,,,17.5,,,,-1.168199658,,,,
25/5-3,1157.3231897,479085.1875,6605461.0,-1135.265869,HORDALAND GP.,Skade Fm.,12.188446999,,2.6568903923,2.8453469276,1.4672845602,36.939201355,,,64.709503174,,,17.5,,,,-1.17401135,,,,
25/5-3,1157.4751897,479085.1875,6605461.0,-1135.417847,HORDALAND GP.,Skade Fm.,12.288191795,,2.6995520592,2.7864451408,1.4896280766,36.214683533,,,44.432289124,,,17.5,,,,-1.166584611,,,,
25/5-3,1157.6271897,479085.1875,6605461.0,-1135.569824,HORDALAND GP.,Skade Fm.,12.343799591,,2.7567522526,2.6973569393,1.5205091238,35.784980774,,,38.846260071,,,17.5,,,,-1.151916027,,,,
25/5-3,1157.7791897,479085.1875,6605461.0,-1135.721802,HORDALAND GP.,Skade Fm.,12.343799591,,2.7824976444,2.6172282696,1.5455429554,35.841197968,,,43.933197021,,,17.5,,,,-1.13958919,,,,
25/5-3,1157.9311897,479085.1875,6605461.0,-1135.873779,HORDALAND GP.,Skade Fm.,12.343799591,,2.8126049042,2.5693962574,1.5465137959,36.714958191,,,58.969245911,,,17.5,,,,-1.135765314,,,,
25/5-3,1158.0831897,479085.1875,6605461.0,-1136.025757,HORDALAND GP.,Skade Fm.,12.343799591,,2.938513279,2.5659868717,1.5532382727,37.894062042,,,50.646530151,,,17.5,,,,-1.127278328,,,,
25/5-3,1158.2351897,479085.1875,6605461.0,-1136.177856,HORDALAND GP.,Skade Fm.,12.343799591,,3.1146581173,2.5950934887,1.5622694492,38.390209198,,,59.463813782,,,17.5,,,,-1.122894406,,,,
25/5-3,1158.3871897,479085.1875,6605461.0,-1136.329834,HORDALAND GP.,Skade Fm.,12.343799591,,3.1715350151,2.6247236729,1.5738426447,38.175117493,,,98.036277771,,,17.5,,,,-1.133194208,,,,
25/5-3,1158.5391897,479085.1875,6605461.0,-1136.481812,HORDALAND GP.,Skade Fm.,12.343799591,,3.021094799,2.6260521412,1.5822848082,38.030170441,,,,,,17.5,,,,-1.141499162,,,,
25/5-3,1158.6911897,479085.1875,6605461.0,-1136.633789,HORDALAND GP.,Skade Fm.,12.343799591,,2.9415414333,2.6059179306,1.6066063643,38.283340454,,,,,,17.5,,,,-1.159906745,,,,
25/5-3,1158.8431897,479085.15625,6605461.0,-1136.785767,HORDALAND GP.,Skade Fm.,12.343799591,,3.0930275917,2.5822067261,1.6043155193,38.28843689,,,,,,17.5,,,,-1.18731761,,,,
25/5-3,1158.9951897,479085.15625,6605461.0,-1136.937866,HORDALAND GP.,Skade Fm.,12.343799591,,3.4051275253,2.5569701195,1.6393672228,37.857406616,,,,,,17.5,,,,-1.186957479,,,,
25/5-3,1159.1471897,479085.15625,6605461.0,-1137.089722,HORDALAND GP.,Skade Fm.,12.343799591,,3.5764381886,2.5326299667,1.6383481026,37.377868652,,,69.680015564,,,17.5,,,,-1.182417631,,,,
25/5-3,1159.2991897,479085.15625,6605461.0,-1137.241699,HORDALAND GP.,Skade Fm.,12.343799591,,3.3340930939,2.5163538456,1.6122418642,37.718833923,,,79.726325989,,,17.5,,,,-1.18556726,,,,
25/5-3,1159.4511897,479085.15625,6605461.0,-1137.393677,HORDALAND GP.,Skade Fm.,12.343799591,,2.9837884903,2.5072855949,1.5983384848,38.262763977,,,144.27354431,,,17.5,,,,-1.164954424,,,,
25/5-3,1159.6031897,479085.15625,6605461.0,-1137.545654,HORDALAND GP.,Skade Fm.,12.343799591,,2.8651902676,2.5032887459,1.5865937471,38.038433075,,,117.9851532,,,17.5,,,,-1.143532157,,,,
25/5-3,1159.7551897,479085.15625,6605461.0,-1137.697754,HORDALAND GP.,Skade Fm.,12.343799591,,2.9266142845,2.5100226402,1.579153657,37.5597229,,,86.446166992,,,17.5,,,,-1.138189197,,,,
25/5-3,1159.9071897,479085.15625,6605461.0,-1137.849731,HORDALAND GP.,Skade Fm.,12.343799591,,2.9361000061,2.5319981575,1.6156252623,37.636943817,,,104.22419739,,,17.5,,,,-1.115958214,,,,
25/5-3,1160.0591897,479085.15625,6605461.0,-1138.001709,HORDALAND GP.,Skade Fm.,12.343799591,,2.848916769,2.5640890598,1.6817930937,38.392379761,,,225.01887512,,,17.5,,,,-1.090195298,,,,
25/5-3,1160.2111897,479085.15625,6605461.0,-1138.153687,HORDALAND GP.,Skade Fm.,12.343799591,,2.8835115433,2.5920705795,1.7385007143,38.909996033,,,,,,17.5,,,,-1.070077777,,,,
25/5-3,1160.3631897,479085.15625,6605461.0,-1138.305664,HORDALAND GP.,Skade Fm.,12.343799591,,3.0818111897,2.6041109562,1.7477226257,38.871810913,,,,,,17.5,,,,-1.062688828,,,,
25/5-3,1160.5151897,479085.15625,6605461.0,-1138.457642,HORDALAND GP.,Skade Fm.,12.343799591,,3.2371435165,2.6068127155,1.7038934231,39.036857605,,,,,,17.5,,,,-1.072188616,,,,
25/5-3,1160.6671897,479085.15625,6605461.0,-1138.609741,HORDALAND GP.,Skade Fm.,12.343799591,,3.2619557381,2.6144933701,1.6567832232,40.002437592,,,,,,17.5,,,,-1.088649035,,,,
25/5-3,1160.8191897,479085.15625,6605461.0,-1138.761719,HORDALAND GP.,Skade Fm.,12.343799591,,3.2456576824,2.6183757782,1.6400893927,41.192321777,,,,,,17.5,,,,-1.09586215,,,,
25/5-3,1160.9711897,479085.15625,6605461.0,-1138.913696,HORDALAND GP.,Skade Fm.,12.343799591,,3.1746151447,2.612912178,1.6380586624,41.960605621,,,77.656219482,,,17.5,,,,-1.097422123,,,,
25/5-3,1161.1231897,479085.15625,6605461.0,-1139.065674,HORDALAND GP.,Skade Fm.,12.343799591,,3.145316124,2.6025412083,1.6211090088,42.160339355,,,65.627243042,,,17.5,,,,-1.105538368,,,,
25/5-3,1161.2751897,479085.15625,6605461.0,-1139.217651,HORDALAND GP.,Skade Fm.,12.343799591,,3.1677083969,2.5903544426,1.5947326422,41.540599823,,,,,,17.5,,,,-1.112782598,,,,
25/5-3,1161.4271897,479085.15625,6605461.0,-1139.369751,HORDALAND GP.,Skade Fm.,12.357673645,,3.1359417439,2.5745682716,1.5762364864,40.051239014,,,,,,17.5,,,,-1.114281416,,,,
25/5-3,1161.5791897,479085.15625,6605461.0,-1139.521729,HORDALAND GP.,Skade Fm.,12.436385155,,3.0936009884,2.559230566,1.5711132288,37.929157257,,,,,,17.5,,,,-1.110894203,,,,
25/5-3,1161.7311897,479085.15625,6605461.0,-1139.673706,HORDALAND GP.,Skade Fm.,12.456841469,,2.9777505398,2.5506446362,1.5591193438,37.025215149,,,,,,17.5,,,,-1.112654448,,,,
25/5-3,1161.8831897,479085.15625,6605461.0,-1139.825684,HORDALAND GP.,Skade Fm.,12.442062378,,2.7433662415,2.5444049835,1.550968051,37.473579407,,,,,,17.5,,,,-1.109415889,,,,
25/5-3,1162.0351897,479085.15625,6605461.0,-1139.977661,HORDALAND GP.,Skade Fm.,12.445300102,,2.5847475529,2.5367834568,1.5476316214,37.578567505,,,47.925281525,,,17.5,,,,-1.098927736,,,,
25/5-3,1162.1871897,479085.15625,6605461.0,-1140.129639,HORDALAND GP.,Skade Fm.,12.449821472,,2.5622968674,2.5342116356,1.5544489622,36.739273071,,,43.598011017,,,17.5,,,,-1.083485842,,,,
25/5-3,1162.3391897,479085.15625,6605461.0,-1140.281616,HORDALAND GP.,Skade Fm.,12.455350876,,2.581458807,2.5374541283,1.5627424717,36.186275482,,,100.82657623,,,17.5,,,,-1.068980217,,,,
25/5-3,1162.4911897,479085.15625,6605461.0,-1140.433594,HORDALAND GP.,Skade Fm.,12.459240913,,2.5990304947,2.5361261368,1.5670739412,36.699333191,,,175.92097473,,,17.5,,,,-1.055297136,,,,
25/5-3,1162.6431897,479085.15625,6605461.0,-1140.585571,HORDALAND GP.,Skade Fm.,12.463130951,,2.6108207703,2.5230584145,1.5748207569,37.876224518,,,251.41548157,,,17.5,,,,-1.040518641,,,,
25/5-3,1162.7951897,479085.15625,6605461.0,-1140.737549,HORDALAND GP.,Skade Fm.,12.467020035,,2.7163259983,2.5016617775,1.5835831165,38.825973511,,,258.31552124,,,17.5,,,,-1.028250337,,,,
25/5-3,1162.9471897,479085.15625,6605461.0,-1140.889526,HORDALAND GP.,Skade Fm.,12.468700409,,2.8228573799,2.47676301,1.582608819,38.850227356,,,,,,17.5,,,,-1.028814673,,,,
25/5-3,1163.0991897,479085.15625,6605461.0,-1141.041626,HORDALAND GP.,Skade Fm.,12.470186234,,2.861225605,2.451171875,1.5816948414,38.119773865,,,,,,17.5,,,,-1.033815384,,,,
25/5-3,1163.2511897,479085.15625,6605461.0,-1141.193604,HORDALAND GP.,Skade Fm.,12.472811699,,2.8954792023,2.424434185,1.5990287066,37.500038147,,,,,,17.5,,,,-1.036565185,,,,
25/5-3,1163.4031897,479085.15625,6605461.0,-1141.345581,HORDALAND GP.,Skade Fm.,12.475437164,,2.9192261696,2.399794817,1.6484948397,37.448883057,,,46.54870224,,,17.5,,,,-1.058663487,,,,
25/5-3,1163.5551897,479085.15625,6605461.0,-1141.497559,HORDALAND GP.,Skade Fm.,12.428768158,,2.9014966488,2.3900001049,1.7215377092,37.534244537,,,75.219291687,,,17.5,,,,-1.097202897,,,,
25/5-3,1163.7071897,479085.15625,6605461.0,-1141.649536,HORDALAND GP.,Skade Fm.,12.364696503,,2.8486521244,2.3889484406,1.8261599541,37.181152344,,,,,,17.5,,,,-1.104151726,,,,
25/5-3,1163.8591897,479085.15625,6605461.0,-1141.801514,HORDALAND GP.,Skade Fm.,12.343799591,,2.8353531361,2.3844642639,1.7980419397,36.447406769,,,,,,17.5,,,,-1.125587463,,,,
25/5-3,1164.0111897,479085.15625,6605461.0,-1141.953613,HORDALAND GP.,Skade Fm.,12.343799591,,2.8633613586,2.3823223114,1.6539456844,35.776420593,,,195.54727173,,,17.5,,,,-1.173990726,,,,
25/5-3,1164.1631897,479085.15625,6605461.0,-1142.105591,HORDALAND GP.,Skade Fm.,12.343799591,,2.8614883423,2.3977298737,1.5720872879,35.779655457,,,98.668609619,,,17.5,,,,-1.172978163,,,,
25/5-3,1164.3151897,479085.15625,6605461.0,-1142.257568,HORDALAND GP.,Skade Fm.,12.343799591,,2.8303735256,2.4271683693,1.5758736134,36.752246857,,,92.890228271,,,17.5,,,,-1.131514668,,,,
25/5-3,1164.4671897,479085.15625,6605461.0,-1142.409546,HORDALAND GP.,Skade Fm.,12.343799591,,2.7729234695,2.447876215,1.5941362381,37.891647339,,,92.689590454,,,17.5,,,,-1.106014132,,,,
25/5-3,1164.6191897,479085.15625,6605461.0,-1142.561523,HORDALAND GP.,Skade Fm.,12.343799591,,2.7359464169,2.44927001,1.5968766212,37.833190918,,,78.711555481,,,17.5,,,,-1.099169731,,,,
25/5-3,1164.7711897,479085.15625,6605461.0,-1142.713623,HORDALAND GP.,Skade Fm.,12.343799591,,2.8107194901,2.4313819408,1.5921319723,36.93289566,,,59.543449402,,,17.5,,,,-1.095714211,,,,
25/5-3,1164.9231897,479085.15625,6605461.0,-1142.865601,HORDALAND GP.,Skade Fm.,12.343799591,,2.8502676487,2.3907086849,1.5840880871,36.403053284,,,54.73797226,,,17.5,,,,-1.092147946,,,,
25/5-3,1165.0751897,479085.15625,6605461.0,-1143.017578,HORDALAND GP.,Skade Fm.,12.343799591,,2.8310720921,2.3318355083,1.5828077793,36.412944794,,,123.27539063,,,17.5,,,,-1.079444766,,,,
25/5-3,1165.2271897,479085.15625,6605461.0,-1143.169556,HORDALAND GP.,Skade Fm.,12.343799591,,2.8432602882,2.2914731503,1.5895050764,36.217941284,,,156.48388672,,,17.5,,,,-1.068041801,,,,
25/5-3,1165.3791897,479085.15625,6605461.0,-1143.321533,HORDALAND GP.,Skade Fm.,12.343799591,,2.8425409794,2.3013510704,1.5889239311,35.531700134,,,218.10301208,,,17.5,,,,-1.06809032,,,,
25/5-3,1165.5311897,479085.15625,6605461.0,-1143.473511,HORDALAND GP.,Skade Fm.,12.343799591,,2.8480694294,2.3360054493,1.5958201885,34.806785583,,,191.82310486,,,17.5,,,,-1.061023235,,,,
25/5-3,1165.6831897,479085.15625,6605461.0,-1143.625488,HORDALAND GP.,Skade Fm.,12.343799591,,2.8911271095,2.3465383053,1.602273941,34.289485931,,,98.076019287,,,17.5,,,,-1.056014776,,,,
25/5-3,1165.8351897,479085.15625,6605461.0,-1143.777466,HORDALAND GP.,Skade Fm.,12.343799591,,2.90067029,2.3355047703,1.5988273621,34.296993256,,,84.169219971,,,17.5,,,,-1.066556692,,,,
25/5-3,1165.9871897,479085.15625,6605461.0,-1143.929443,HORDALAND GP.,Skade Fm.,12.343799591,,2.8377811909,2.3277361393,1.5974391699,35.099960327,,,69.083869934,,,17.5,,,,-1.078275919,,,,
25/5-3,1166.1391897,479085.15625,6605461.0,-1144.081421,HORDALAND GP.,Skade Fm.,12.343799591,,2.746732235,2.3186395168,1.5972424746,36.195163727,,,83.334686279,,,17.5,,,,-1.080145717,,,,
25/5-3,1166.2911897,479085.15625,6605461.0,-1144.233398,HORDALAND GP.,Skade Fm.,12.343799591,,2.8103249073,2.3163278103,1.5822997093,36.677906036,,,101.76843262,,,17.5,,,,-1.088643193,,,,
25/5-3,1166.4431897,479085.15625,6605461.0,-1144.385498,HORDALAND GP.,Skade Fm.,12.343799591,,3.0109393597,2.3470108509,1.541564703,36.154632568,,,111.56980896,,,17.5,,,,-1.108529687,,,,
25/5-3,1166.5951897,479085.15625,6605461.0,-1144.537476,HORDALAND GP.,Skade Fm.,12.343799591,,3.0987131596,2.3960957527,1.4982372522,35.363517761,,,91.083183289,,,17.5,,,,-1.119716167,,,,
25/5-3,1166.7471897,479085.15625,6605461.0,-1144.689453,HORDALAND GP.,Skade Fm.,12.343799591,,3.0440409184,2.426122427,1.4531676769,35.077495575,,,88.180854797,,,17.5,,,,-1.123205066,,,,
25/5-3,1166.8991897,479085.15625,6605461.0,-1144.841431,HORDALAND GP.,Skade Fm.,12.343799591,,2.9667086601,2.4274125099,1.3988610506,35.174438477,,,86.488525391,,,17.5,,,,-1.136724353,,,,
25/5-3,1167.0511897,479085.15625,6605461.0,-1144.993408,HORDALAND GP.,Skade Fm.,12.343799591,,3.0067431927,2.4162402153,1.345238328,35.27186203,,,72.309684753,,,17.5,,,,-1.154704809,,,,
25/5-3,1167.2031897,479085.15625,6605461.0,-1145.145508,HORDALAND GP.,Skade Fm.,12.343799591,,3.1163678169,2.4060118198,1.3159991503,35.030006409,,,80.125656128,,,17.5,,,,-1.161293626,,,,
25/5-3,1167.3551897,479085.15625,6605461.0,-1145.297485,HORDALAND GP.,Skade Fm.,12.343799591,,3.1189796925,2.396730423,1.3020354509,34.283405304,,,79.957199097,,,17.5,,,,-1.168918967,,,,
25/5-3,1167.5071897,479085.15625,6605461.0,-1145.449463,HORDALAND GP.,Skade Fm.,12.343799591,,3.0142245293,2.3921511173,1.289988637,33.423038483,,,93.234214783,,,17.5,,,,-1.177813768,,,,
25/5-3,1167.6591897,479085.15625,6605461.0,-1145.60144,HORDALAND GP.,Skade Fm.,12.343799591,,2.9261317253,2.39681077,1.298789978,33.257305145,,,88.332328796,,,17.5,,,,-1.176049113,,,,
25/5-3,1167.8111897,479085.15625,6605461.0,-1145.753418,HORDALAND GP.,Skade Fm.,12.343799591,,2.9899086952,2.4081754684,1.3387351036,34.351760864,,,,,,17.5,,,,-1.167331934,,,,
25/5-3,1167.9631897,479085.15625,6605461.0,-1145.905396,HORDALAND GP.,Skade Fm.,12.343799591,,3.135332346,2.4200434685,1.4192659855,36.048057556,,,,,,17.5,,,,-1.1546911,,,,
25/5-3,1168.1151897,479085.15625,6605461.0,-1146.057495,HORDALAND GP.,Skade Fm.,12.343799591,,3.1760718822,2.4314234257,1.5039542913,37.232582092,,,,,,17.5,,,,-1.139165878,,,,
25/5-3,1168.2671897,479085.15625,6605461.0,-1146.209473,HORDALAND GP.,Skade Fm.,12.343799591,,3.1424670219,2.4420325756,1.5447351933,37.101425171,,,,,,17.5,,,,-1.138960242,,,,
25/5-3,1168.4191897,479085.15625,6605461.0,-1146.36145,HORDALAND GP.,Skade Fm.,12.343799591,,3.0811917782,2.4460327625,1.5194014311,35.460041046,,,116.55466461,,,17.5,,,,-1.165077448,,,,
25/5-3,1168.5711897,479085.125,6605461.0,-1146.513306,HORDALAND GP.,Skade Fm.,12.343799591,,3.0084466934,2.4450240135,1.4707998037,33.4337883,,,119.14730072,,,17.5,,,,-1.187472939,,,,
25/5-3,1168.7231897,479085.125,6605461.0,-1146.665283,HORDALAND GP.,Skade Fm.,12.343799591,,3.0024206638,2.4508638382,1.4311829805,32.635505676,,,195.07145691,,,17.5,,,,-1.191032529,,,,
25/5-3,1168.8751897,479085.125,6605461.0,-1146.817383,HORDALAND GP.,Skade Fm.,12.343799591,,2.999073267,2.4626016617,1.3805621862,33.770458221,,,190.45065308,,,17.5,,,,-1.193009973,,,,
25/5-3,1169.0271897,479085.125,6605461.0,-1146.96936,HORDALAND GP.,Skade Fm.,12.343799591,,2.9389548302,2.4713659286,1.3423353434,36.443725586,,,68.539764404,,,17.5,,,,-1.192018032,,,,
25/5-3,1169.1791897,479085.125,6605461.0,-1147.121338,HORDALAND GP.,Skade Fm.,12.343799591,,2.8756673336,2.4729187489,1.3311978579,38.829444885,,,59.100719452,,,17.5,,,,-1.178907275,,,,
25/5-3,1169.3311897,479085.125,6605461.0,-1147.273315,HORDALAND GP.,Skade Fm.,12.343799591,,2.8564291,2.4614574909,1.3500056267,39.594554901,,,53.579319,,,17.5,,,,-1.164734364,,,,
25/5-3,1169.4831897,479085.125,6605461.0,-1147.425293,HORDALAND GP.,Skade Fm.,12.343799591,,2.9436557293,2.4429426193,1.3881998062,39.341274261,,,49.550445557,,,17.5,,,,-1.153223276,,,,
25/5-3,1169.6351897,479085.125,6605461.0,-1147.577271,HORDALAND GP.,Skade Fm.,12.343799591,,3.0262775421,2.4317259789,1.4296678305,39.010032654,,,36.883140564,,,17.5,,,,-1.148044467,,,,
25/5-3,1169.7871897,479085.125,6605461.0,-1147.72937,HORDALAND GP.,Skade Fm.,12.343799591,,2.9994544983,2.441432476,1.4463772774,39.16583252,,,50.574401855,,,17.5,,,,-1.158592343,,,,
25/5-3,1169.9391897,479085.125,6605461.0,-1147.881348,HORDALAND GP.,Skade Fm.,12.343799591,,2.9200365543,2.4791941643,1.4315034151,39.42502594,,,,,,17.5,,,,-1.171404958,,,,
25/5-3,1170.0911897,479085.125,6605461.0,-1148.033325,HORDALAND GP.,Skade Fm.,12.343799591,,2.8349621296,2.5297706127,1.3878017664,40.221565247,,,,,,17.5,,,,-1.184484363,,,,
25/5-3,1170.2431897,479085.125,6605461.0,-1148.185303,HORDALAND GP.,Skade Fm.,12.343799591,,2.8560864925,2.5649142265,1.3399919271,40.780273438,,,,,,17.5,,,,-1.202567935,,,,
25/5-3,1170.3951897,479085.125,6605461.0,-1148.33728,HORDALAND GP.,Skade Fm.,12.343799591,,2.9775054455,2.5987324715,1.3140512705,40.882717133,,,,,,17.5,,,,-1.213720322,,,,
25/5-3,1170.5471897,479085.125,6605461.0,-1148.48938,HORDALAND GP.,Skade Fm.,12.343799591,,3.0615108013,2.6487038136,1.3123600483,41.77891922,,,73.341796875,,,17.5,,,,-1.211241364,,,,
25/5-3,1170.6991897,479085.125,6605461.0,-1148.641357,HORDALAND GP.,Skade Fm.,12.343799591,,3.0570850372,2.6717603207,1.3187564611,44.006187439,,,56.594432831,,,17.5,,,,-1.207496643,,,,
25/5-3,1170.8511897,479085.125,6605461.0,-1148.793335,HORDALAND GP.,Skade Fm.,12.343799591,,2.9739356041,2.6452722549,1.3359026909,45.71194458,,,120.62242126,,,17.5,,,,-1.204062223,,,,
25/5-3,1171.0031897,479085.125,6605461.0,-1148.945313,HORDALAND GP.,Skade Fm.,12.343799591,,2.9115083218,2.6098549366,1.3663232327,44.850189209,,,186.04917908,,,17.5,,,,-1.19416213,,,,
25/5-3,1171.1551897,479085.125,6605461.0,-1149.09729,HORDALAND GP.,Skade Fm.,12.343799591,,2.9587905407,2.6167023182,1.3932144642,42.565280914,,,131.6852417,,,17.5,,,,-1.181217551,,,,
25/5-3,1171.3071897,479085.125,6605461.0,-1149.249268,HORDALAND GP.,Skade Fm.,12.343799591,,2.9666419029,2.655456543,1.4141513109,41.137897491,,,91.257484436,,,17.5,,,,-1.163368106,,,,
25/5-3,1171.4591897,479085.125,6605461.0,-1149.401245,HORDALAND GP.,Skade Fm.,12.343799591,,2.8641169071,2.6645841599,1.4222307205,40.281974792,,,62.057727814,,,17.5,,,,-1.149321079,,,,
25/5-3,1171.6111897,479085.125,6605461.0,-1149.553223,HORDALAND GP.,Skade Fm.,12.343799591,,2.760904789,2.6464073658,1.3950613737,40.73941803,,,88.216033936,,,17.5,,,,-1.149009943,,,,
25/5-3,1171.7631897,479085.125,6605461.0,-1149.7052,HORDALAND GP.,Skade Fm.,12.343799591,,2.7219944,2.6355721951,1.3597699404,41.099224091,,,124.27114105,,,17.5,,,,-1.157151103,,,,
25/5-3,1171.9151897,479085.125,6605461.0,-1149.857178,HORDALAND GP.,Skade Fm.,12.343799591,,2.9153876305,2.6254489422,1.3484959602,42.379062653,,,129.57211304,,,17.5,,,,-1.155687451,,,,
25/5-3,1172.0671897,479085.125,6605461.0,-1150.009155,HORDALAND GP.,Skade Fm.,12.343799591,,3.1371541023,2.6112446785,1.3666949272,43.852874756,,,79.222290039,,,17.5,,,,-1.147589564,,,,
25/5-3,1172.2191897,479085.125,6605461.0,-1150.161255,HORDALAND GP.,Skade Fm.,12.343799591,,3.0937361717,2.6001155376,1.3912605047,45.714916229,,,70.583274841,,,17.5,,,,-1.140559077,,,,
25/5-3,1172.3711897,479085.125,6605461.0,-1150.313232,HORDALAND GP.,Skade Fm.,12.343799591,,2.9444694519,2.5992715359,1.395791769,46.185028076,,,143.95423889,,,17.5,,,,-1.144687057,,,,
25/5-3,1172.5231897,479085.125,6605461.0,-1150.46521,HORDALAND GP.,Skade Fm.,12.343799591,,2.9023807049,2.6026358604,1.3933154345,44.373023987,,,,,,17.5,,,,-1.14690423,,,,
